Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"Según el primer principio de la termodinámica, la energía...";"";"";"No se crea ni se destruye, solo se transforma.";"Puede desaparecer completamente en algunos procesos.";"Se crea cuando hay un cambio de forma.";"Se destruye para generar nueva energía.";"";"";"es-electric-energy-5"
"¿Qué energía se transforma al quemar gas natural en una caldera de calefacción?";"";"";"De energía química a energía térmica.";"De energía química a energía nuclear.";"De energía potencial a energía radiante.";"De energía cinética a energía potencial.";"";"";"es-electric-energy-5"
"La energía potencial del agua de una presa se convierte primero en...";"";"";"Energía cinética.";"Energía térmica.";"Energía eléctrica.";"Energía nuclear.";"";"";"es-electric-energy-5"
"En la transformación de la energía, a menudo...";"";"";"Se necesitan varios pasos intermedios.";"No se requieren pasos adicionales.";"La energía se pierde completamente.";"Solo se utiliza un paso directo.";"";"";"es-electric-energy-5"
"El giro del eje de la turbina en una presa genera...";"";"";"Energía mecánica.";"Energía potencial.";"Energía térmica.";"Energía nuclear.";"";"";"es-electric-energy-5"
"En el proceso de generación de energía con gas natural, la energía química se convierte primero en...";"";"";"Energía térmica.";"Energía cinética.";"Energía eléctrica.";"Energía potencial.";"";"";"es-electric-energy-5"
"En la conversión de la energía nuclear del uranio, se genera primero...";"";"";"Energía térmica a partir de energía nuclear.";"Energía mecánica a partir de energía nuclear.";"Energía química a partir de energía nuclear.";"Energía cinética a partir de energía nuclear.";"";"";"es-electric-energy-5"
"El vapor de agua sobrecalentado en una planta nuclear se usa para...";"";"";"Mover una turbina.";"Generar electricidad directamente.";"Aumentar la temperatura del agua.";"Disminuir la energía térmica.";"";"";"es-electric-energy-5"
"La energía química de la gasolina en un automóvil se convierte primero en...";"";"";"Energía térmica.";"Energía eléctrica.";"Energía potencial.";"Energía mecánica.";"";"";"es-electric-energy-5"
"En un automóvil a gasolina, la energía térmica generada por la gasolina se utiliza para...";"";"";"Mover los pistones.";"Calentar el motor.";"Girar las ruedas.";"Generar electricidad.";"";"";"es-electric-energy-5"
"En un aerogenerador, la energía cinética del viento se convierte en...";"";"";"Energía mecánica de giro.";"Energía nuclear.";"Energía térmica.";"Energía química.";"";"";"es-electric-energy-5"
"En la conversión de energía de una presa, la turbina convierte la energía...";"";"";"Cinética en mecánica.";"Eléctrica en cinética.";"Térmica en mecánica.";"Química en térmica.";"";"";"es-electric-energy-5"
"En el proceso de convertir gas natural en energía eléctrica, la turbina convierte la energía térmica en...";"";"";"Energía mecánica.";"Energía cinética.";"Energía eléctrica.";"Energía potencial.";"";"";"es-electric-energy-5"
"En cualquier central eléctrica la energía mecánica de giro se convierte en ...";"";"";"Energía eléctrica mediante un alternador.";"Energía eléctrica mediante una turbina.";"Energía eléctrica mediante una caldera.";"Energía eléctrica mediante una reductora.";"";"";"es-electric-energy-5"
"En un automóvil, la energía mecánica transmitida a las ruedas produce...";"";"";"Energía cinética.";"Energía térmica.";"Energía química.";"Energía eléctrica.";"";"";"es-electric-energy-5"
"La energía eléctrica generada en una presa se utiliza para...";"";"";"Producir energía en nuestras casas.";"Calentar el agua de la presa.";"Aumentar la presión del gas.";"Convertirla en energía nuclear.";"";"";"es-electric-energy-5"
"Una resistencia eléctrica convierte de forma eficiente...";"";"";"Energía eléctrica en energía térmica.";"Energía mecánica en energía térmica.";"Energía potencial en energía química.";"Energía cinética en energía potencial.";"";"";"es-electric-energy-5"
"¿Qué es una fuente de energía?";"";"";"Un recurso natural del que se puede obtener energía.";"Un dispositivo que almacena energía.";"Una máquina que transforma energía en trabajo.";"Un elemento artificial que produce electricidad.";"";"";"es-electric-energy-5"
"¿Cómo se clasifican las fuentes de energía según su disponibilidad?";"";"";"En renovables y no renovables.";"En limpias y sucias.";"En naturales y artificiales.";"En primarias y secundarias.";"";"";"es-electric-energy-5"
"¿Qué característica define a las fuentes de energía no renovables?";"";"";"Se agotan a medida que se consumen.";"Son inagotables con la tecnología actual.";"Solo se pueden utilizar para generar electricidad.";"Se regeneran en periodos cortos de tiempo.";"";"";"es-electric-energy-5"
"¿Cuál es la base energética principal de las fuentes no renovables?";"";"";"La energía química captada por plantas hace millones de años.";"La energía térmica del núcleo terrestre.";"La energía generada por la fusión nuclear en el Sol, que llega a la Tierra por radiación.";"La energía cinética de los movimientos terrestres.";"";"";"es-electric-energy-5"
"¿Qué problemas ambientales se asocian a las fuentes de energía no renovables?";"";"";"Contaminación, calentamiento global y crisis climática.";"Escasez de recursos y aumento de la biodiversidad.";"Reducción de emisiones y aumento de la eficiencia energética.";"Mejoramiento de la calidad del aire y del agua.";"";"";"es-electric-energy-5"
"¿Cuál de las siguientes fuentes de energía no renovables produce la mayor contaminación medioambiental?";"";"";"El carbón.";"El petróleo.";"El gas natural.";"La energía nuclear.";"";"";"es-electric-energy-5"
"¿Qué fuente de energía no renovable es la más utilizada actualmente para transporte y calefacción?";"";"";"El petróleo.";"El carbón.";"El gas natural.";"La energía nuclear.";"";"";"es-electric-energy-5"
"¿Qué característica tiene el gas natural en comparación con otros combustibles fósiles?";"";"";"Es el menos contaminante al quemarse, aunque también emite CO2.";"Es completamente limpio y no emite gases de efecto invernadero.";"Se agota más rápido que el petróleo.";"Es la fuente de energía más contaminante de todas las no renovables.";"";"";"es-electric-energy-5"
"¿De qué compuesto principal está formado el gas natural?";"";"";"Metano.";"Propano.";"Butano.";"Etano.";"";"";"es-electric-energy-5"
"¿Qué efecto tiene el metano del gas natural cuando se libera en la atmósfera?";"";"";"Produce un efecto invernadero mucho mayor que el del gas CO2.";"Se descompone rápidamente sin efecto en la atmósfera.";"Contribuye a la formación de ozono estratosférico.";"Ayuda a enfriar la atmósfera.";"";"";"es-electric-energy-5"
"¿Qué desventaja presenta la energía nuclear?";"";"";"Genera importantes residuos radioactivos contaminantes.";"Emite grandes cantidades de CO2 a la atmósfera.";"Es intermitente y depende de la luz solar.";"Proviene de recursos renovables y, por lo tanto, inagotables.";"";"";"es-electric-energy-5"
"¿Qué característica define a las fuentes de energía renovables?";"";"";"Se consideran inagotables y pueden aprovecharse sin límite.";"Se agotan rápidamente porque tienen reservas limitadas.";"Solo se utilizan en zonas volcánicas o con calor geotérmico.";"Son siempre intermitentes y poco fiables.";"";"";"es-electric-energy-5"
"¿Cuál es uno de los principales problemas de las energías renovables?";"";"";"Su intermitencia, lo que requiere almacenar excedentes.";"La alta emisión de gases contaminantes a la atmósfera.";"El agotamiento de sus recursos naturales a medida que se usan.";"Su producción de importantes residuos radioactivos.";"";"";"es-electric-energy-5"
"¿De dónde proviene la energía solar?";"";"";"De las reacciones nucleares de fusión en el interior del Sol.";"De las reacciones nucleares de fisión de uranio en el interior del Sol.";"De la combustión de los combustibles químicos del interior del Sol.";"De la energía térmica de la Tierra.";"";"";"es-electric-energy-5"
"¿Qué fuente de energía se aprovecha mediante la utilización de la energía cinética del viento?";"";"";"La energía eólica.";"La energía mareomotriz.";"La energía geotérmica.";"La energía de biomasa.";"";"";"es-electric-energy-5"
"¿De dónde proviene la energía hidráulica?";"";"";"De la energía potencial del agua de ríos acumulada en presas.";"De la conversión directa de la energía solar.";"De la descomposición de residuos orgánicos.";"De la energía generada por el movimiento de la Tierra.";"";"";"es-electric-energy-5"
"¿Qué ventaja ofrece la energía hidráulica?";"";"";"Se puede almacenar con facilidad.";"Es completamente ininterrumpida.";"No depende de la disponibilidad de recursos naturales.";"No requiere inversión en infraestructuras.";"";"";"es-electric-energy-5"
"¿De dónde se obtiene la energía geotérmica?";"";"";"Del calor interno de la Tierra.";"De la fusión del hielo en las regiones polares.";"De la energía cinética del viento.";"De la radiación solar directa.";"";"";"es-electric-energy-5"
"¿Cuál es una ventaja de la energía geotérmica?";"";"";"Está siempre disponible, aunque solo se puede aprovechar en algunas zonas volcánicas.";"Es completamente renovable en todas las regiones del mundo.";"No requiere ningún tipo de infraestructura para su aprovechamiento.";"No produce ningún residuo ni contaminación.";"";"";"es-electric-energy-5"
"¿Cómo se obtiene la energía de la biomasa?";"";"";"A partir de la energía química contenida en los árboles.";"Por la fusión nuclear de materiales orgánicos.";"Mediante la combustión directa de combustibles fósiles.";"A través del aprovechamiento de la energía cinética del agua.";"";"";"es-electric-energy-5"
