Question;Image;Image_width;Choice_1;Choice_2;Choice_3;Choice_4;Choice_5;Choice_6;Block
"¿Qué beneficios aporta la energía a nuestra sociedad?";"";"";"Satisfacer necesidades básicas diarias.";"Generar caos.";"Aumentar la contaminación.";"Crear problemas ambientales.";"";"";"es-electric-energy-4"
"¿Qué está causando el uso excesivo de energías fósiles?";"";"";"Crisis climática.";"Mejoras en la tecnología.";"Reducción de costos.";"Aumento de la biodiversidad.";"";"";"es-electric-energy-4"
"¿Cuál es una fuente de energía más sostenible que las energías fósiles?";"";"";"Energía solar.";"Energía nuclear.";"Energía de carbón.";"Energía de gas natural.";"";"";"es-electric-energy-4"
"¿Qué es la energía?";"";"";"Capacidad de realizar trabajo o producir cambios.";"Una forma de materia.";"Un recurso ilimitado.";"Algo que se puede crear de la nada.";"";"";"es-electric-energy-4"
"¿Qué puede convertirse en trabajo o movimiento, luz, calor, sonido u otros efectos útiles?";"";"";"La energía.";"La materia.";"Los compuestos químicos.";"Las moléculas.";"";"";"es-electric-energy-4"
"¿Qué tipo de energía tiene un objeto debido a su posición en un campo gravitatorio?";"";"";"Energía potencial.";"Energía cinética.";"Energía térmica.";"Energía mecánica.";"";"";"es-electric-energy-4"
"¿Qué tipo de energía tiene una presa hidráulica?";"";"";"Energía potencial.";"Energía cinética.";"Energía térmica.";"Energía mecánica.";"";"";"es-electric-energy-4"
"¿Qué tipo de energía tiene un objeto debido a su movimiento?";"";"";"Energía cinética.";"Energía potencial.";"Energía térmica.";"Energía mecánica.";"";"";"es-electric-energy-4"
"¿Qué tipo de energía tiene un balón lanzado a mucha velocidad?";"";"";"Energía cinética.";"Energía potencial.";"Energía térmica.";"Energía mecánica.";"";"";"es-electric-energy-4"
"¿Qué tipo de energía se transmite mediante el desplazamiento lineal o el giro de una pieza mecánica de una máquina?";"";"";"Energía mecánica.";"Energía térmica.";"Energía cinética.";"Energía potencial.";"";"";"es-electric-energy-4"
